Authors;Year;Source title;Cited by
Firth L.B., Thompson R.C., Bohn K., Abbiati M., Airoldi L., Bouma T.J., Bozzeda F., Ceccherelli V.U., Colangelo M.A., Evans A., Ferrario F., Hanley M.E., Hinz H., Hoggart S.P.G., Jackson J.E., Moore P., Morgan E.H., Perkol-Finkel S., Skov M.W., Strain E.M., van Belzen J., Hawkins S.J.;2014;Coastal Engineering;19
Hejnol A., Lowe C.J.;2014;Current Biology;2
Weinstein M.P., Litvin S.Y., Krebs J.M.;2014;Ecological Engineering;6
Low N.H.N., Drouin A., Marks C.J., Bracken M.E.S.;2014;Biological Invasions;
Micheli F., De Leo G., Shester G.G., Martone R.G., Lluch-Cota S.E., Butner C., Crowder L.B., Fujita R., Gelcich S., Jain M., Lester S.E., McCay B., Pelc R., Saenz-Arroyo A.;2014;Frontiers in Ecology and the Environment;3
Maxwell S.M., Jeglinski J.W.E., Trillmich F., Costa D.P., Raimondi P.T.;2014;Chelonian Conservation and Biology;
McCauley D.J., Young H.S., Power E.A., Bird D.W., Durham W.H., McInturff A., Dunbar R.B., Micheli F., Young H.S.;2014;Biological Conservation;
McCay B.J., Micheli F., Ponce-Diaz G., Murray G., Shester G., Ramirez-Sanchez S., Weisman W.;2014;Marine Policy;10
Strain E.M.A., Thomson R.J., Micheli F., Mancuso F.P., Airoldi L.;2014;Global Change Biology;8
Walter R.K., Woodson C.B., Leary P.R., Monismith S.G.;2014;Journal of Geophysical Research: Oceans;3
Giangrande A., Gambi M.C., Micheli F., Kroeker K.J.;2014;Journal of the Marine Biological Association of the United Kingdom;1
Stimpert A.K., Deruiter S.L., Southall B.L., Moretti D.J., Falcone E.A., Goldbogen J.A., Friedlaender A., Schorr G.S., Calambokidis J.;2014;Scientific Reports;
Mendez M., Kershaw F., Palumbi S., Pinsky M., Ray C., Rosenbaum H., Subramaniam A.;;Aquatic Conservation: Marine and Freshwater Ecosystems;1
Kittinger J.N., Koehn J.Z., Le Cornu E., Ban N.C., Gopnik M., Armsby M., Brooks C., Carr M.H., Cinner J.E., Cravens A., D'Iorio M., Erickson A., Finkbeiner E.M., Foley M.M., Fujita R., Gelcich S., Martin K.S., Prahler E., Reineman D.R., Shackeroff J., White C., Caldwell M.R., Crowder L.B.;2014;Frontiers in Ecology and the Environment;4
Butcher J.T., Johnson T., Beers J., Columbus L., Isakson B.E.;2014;Free Radical Biology and Medicine;2
Friedlaender A.S., Goldbogen J.A., Nowacek D.P., Read A.J., Johnston D., Gales N.;2014;Journal of Experimental Biology;4
Ban N.C., Bax N.J., Gjerde K.M., Devillers R., Dunn D.C., Dunstan P.K., Hobday A.J., Maxwell S.M., Kaplan D.M., Pressey R.L., Ardron J.A., Game E.T., Halpin P.N.;2014;Conservation Letters;15
Booth J.A.T., Woodson C.B., Sutula M., Micheli F., Weisberg S.B., Bograd S.J., Steele A., Schoen J., Crowder L.B.;2014;Limnology and Oceanography;3
Brette F., Machado B., Cros C., Incardona J.P., Scholz N.L., Block B.A.;2014;Science;20
Palumbi S.R., Barshis D.J., Traylor-Knowles N., Bay R.A.;2014;Science;39
Cornelius J.M., Zylberberg M., Breuner C.W., Gleiss A.C., Hahn T.P.;2014;Journal of Experimental Biology;1
Kuris A.M., Lafferty K.D., Sokolow S.H.;2014;Trends in Parasitology;1
Young H.S., McCauley D.J., Pollock A., Dirzo R.;2014;Journal of Tropical Ecology;
McCauley D.J., DeSalles P.A., Young H.S., Papastamatiou Y.P., Caselle J.E., Deakos M.H., Gardner J.P.A., Garton D.W., Collen J.D., Micheli F.;2014;Marine Biology;3
Rosenbaum H.C., Maxwell S.M., Kershaw F., Mate B.;2014;Conservation Biology;4
Micheli F., De Leo G., Butner C., Martone R.G., Shester G.;2014;Biological Conservation;1
Traylor-Knowles N., Palumbi S.R.;2014;Trends in Cell Biology;3
Ban N.C., Maxwell S.M., Dunn D.C., Hobday A.J., Bax N.J., Ardron J., Gjerde K.M., Game E.T., Devillers R., Kaplan D.M., Dunstan P.K., Halpin P.N., Pressey R.L.;2014;Marine Policy;9
Bay R.A., Palumbi S.R.;2014;Current Biology;4
Chu N.D., Miller L.P., Kaluziak S.T., Trussell G.C., Vollmer S.V.;2014;Molecular Ecology;1
Hemmer-Hansen J., Therkildsen N.O., Pujolar J.M.;2014;Biological Bulletin;1
Britten G.L., Dowd M., Minto C., Ferretti F., Boero F., Lotze H.K.;2014;Ecology Letters;2
Burgess S.C., Nickols K.J., Griesemer C.D., Barnett L.A.K., Dedrick A.G., Satterthwaite E.V., Yamane L., Morgan S.G., White J.W., Botsford L.W.;2014;Ecological Applications;17
Stewart J.S., Hazen E.L., Bograd S.J., Byrnes J.E.K., Foley D.G., Gilly W.F., Robison B.H., Field J.C.;2014;Global Change Biology;7
Pinsky M.L., Palumbi S.R.;2014;Molecular Ecology;18
Goldbogen J.A., Stimpert A.K., DeRuiter S.L., Calambokidis J., Friedender A.S., Schorr G.S., Moretti D.J., Tyack P.L., Southall B.L.;2014;Journal of Experimental Biology;1
Satoh N., Tagawa K., Lowe C.J., Yu J.-K., Kawashima T., Takahashi H., Ogasawara M., Kirschner M., Hisata K., Su Y.-H., Gerhart J.;2014;Genesis;4
Able K.W., Grothues T.M., Turnure J.T., Malone M.A., Henkes G.A.;2014;Environmental Biology of Fishes;1
Bonanomi S., Overgaard Therkildsen N., Berg Hedeholm R., Hemmer-Hansen J., Nielsen E.E.;2014;Molecular Ecology Resources;
Ibanez I., Diez J.M., Miller L.P., Olden J.D., Sorte C.J.B., Blumenthal D.M., Bradley B.A., D'antonio C.M., Dukes J.S., Early R.I., Grosholz E.D., Lawler J.J.;2014;Ecological Applications;10
