Authors;Year;Source title;Cited by
Rinkevich Y., Voskoboynik A., Rosner A., Rabinowitz C., Paz G., Oren M., Douek J., Alfassi G., Moiseeva E., Ishizuka K.J., Palmeri K.J., Weissman I.L., Rinkevich B.;2013;Developmental Cell;17
Staaf D.J., Redfern J.V., Gilly W.F., Watson W., Ballance L.T.;2013;Fishery Bulletin;5
Thums M., Meekan M., Stevens J., Wilson S., Polovina J.;2013;Journal of the Royal Society Interface;11
Gilly W.F., Michael Beman J., Litvin S.Y., Robison B.H.;2013;Annual Review of Marine Science;27
Lopez R., Lopez J.M., Morell J., Corredor J.E., Del Castillo C.E.;2013;Journal of Geophysical Research: Oceans;
Fujita R., Moxley J.H., DeBey H., Van Leuvan T., Leumer A., Honey K., Aguilera S., Foley M.;2013;Marine Policy;5
Padilla-Gamino J.L., Bidigare R.R., Barshis D.J., Alamaru A., Hedouin L., Hernandez-Pech X., Kandel F., Leon Soon S., Roth M.S., Rodrigues L.J., Grottoli A.G., Portocarrero C., Wagenhauser S.A., Buttler F., Gates R.D.;2013;Coral Reefs;7
Ruegg K., Rosenbaum H.C., Anderson E.C., Engel M., Rothschild A., Baker C.S., Palumbi S.R.;2013;Conservation Genetics;4
Cordioli M., Ranzi A., De Leo G.A., Lauriola P.;2013;Journal of Environmental and Public Health;4
Voskoboynik A., Newman A.M., Corey D.M., Sahoo D., Pushkarev D., Neff N.F., Passarelli B., Koh W., Ishizuka K.J., Palmeri K.J., Dimov I.K., Keasar C., Fan H.C., Mantalas G.L., Sinha R., Penland L., Quake S.R., Weissman I.L.;2013;Science;13
Quadroni S., Galassi S., Capoccioni F., Ciccotti E., Grandi G., De Leo G.A., Bettinetti R.;2013;Ecotoxicology;9
Di Franco A., Coppini G., Pujolar J.M., de Leo G.A., Gatto M., Lyubartsev V., Melia P., Zane L., Guidetti P.;2012;PLoS ONE;11
Stewart J.S., Hazen E.L., Foley D.G., Bograd S.J., Gilly W.F.;2012;Marine Ecology Progress Series;8
Camilli R., Di Iorio D., Bowen A., Reddy C.M., Techet A.H., Yoerger D.R., Whitcomb L.L., Seewald J.S., Sylva S.P., Fenwick J.;2012;Proceedings of the National Academy of Sciences of the United States of America;18
Swezey R.R., Epel D.;2012;Guide to Electroporation and Electrofusion;1
Greenley A.P., Munguia-Vega A., Saenz-Arroyo A., Micheli F.;2012;Conservation Genetics Resources;
Kittinger J.N., Finkbeiner E.M., Glazier E.W., Crowder L.B.;2012;Ecology and Society;13
Yao C.-L., Somero G.N.;2012;Journal of Experimental Biology;8
Denny M., Benedetti-Cecchi L.;2012;Annual Review of Ecology, Evolution, and Systematics;8
Greenley A.P., Muguia-Vega A., Saenz-Arroyo A., Micheli F.;2012;Conservation Genetics Resources;11
Ladner J.T., Barshis D.J., Palumbi S.R.;2012;BMC Evolutionary Biology;16
Madigan D.J., Litvin S.Y., Popp B.N., Carlisle A.B., Farwell C.J., Block B.A.;2012;PLoS ONE;20
Albertin C.B., Bonnaud L., Brown C.T., Crookes-Goodson W.J., da Fonseca R.R., Di Cristo C., Dilkes B.P., Edsinger-Gonzales E., Freeman Jr. R.M., Hanlon R.T., Koenig K.M., Lindgren A.R., Martindale M.Q., Minx P., Moroz L.L., Nodl M.-T., Nyholm S.V., Ogura A., Pungor J.R., Rosenthal J.J.C., Schwarz E.M., Shigeno S., Strugnell J.M., Wollesen T., Zhang G., Ragsdale C.W.;2012;Standards in Genomic Sciences;13
Freeman R., Ikuta T., Wu M., Koyanagi R., Kawashima T., Tagawa K., Humphreys T., Fang G.-C., Fujiyama A., Saiga H., Lowe C., Worley K., Jenkins J., Schmutz J., Kirschner M., Rokhsar D., Satoh N., Gerhart J.;2012;Current Biology;13
De Wit P., Pespeni M.H., Ladner J.T., Barshis D.J., Seneca F., Jaris H., Therkildsen N.O., Morikawa M., Palumbi S.R.;2012;Molecular Ecology Resources;49
Jorgensen S.J., Arnoldi N.S., Estess E.E., Chapple T.K., Ruckert M., Anderson S.D., Block B.A.;2012;PLoS ONE;5
Madigan D.J., Carlisle A.B., Dewar H., Snodgrass O.E., Litvin S.Y., Micheli F., Block B.A.;2012;Scientific Reports;14
Gardner L.D., Jayasundara N., Castilho P.C., Block B.;2012;BMC Genomics;3
Palmer C.V., Traylor-Knowles N.;2012;Proceedings of the Royal Society B: Biological Sciences;14
Wilson G.S., Levy R.H., Naish T.R., Powell R.D., Florindo F., Ohneiser C., Sagnotti L., Winter D.M., Cody R., Henrys S., Ross J., Krissek L., Niessen F., Pompillio M., Scherer R., Alloway B.V., Barrett P.J., Brachfeld S., Browne G., Carter L., Cowan E., Crampton J., DeConto R.M., Dunbar G., Dunbar N., Dunbar R., von Eynatten H., Gebhardt C., Giorgetti G., Graham I., Hannah M., Hansaraj D., Harwood D.M., Hinnov L., Jarrard R.D., Joseph L., Kominz M., Kuhn G., Kyle P., Laufer A., McIntosh W.C., McKay R., Maffioli P., Magens D., Millan C., Monien D., Morin R., Paulsen T., Persico D., Pollard D., Raine J.I., Riesselman C., Sandroni S., Schmitt D., Sjunneskog C., Strong C.P., Talarico F., Taviani M., Villa G., Vogel S., Wilch T., Williams T., Wilson T.J., Wise S.;2012;Global and Planetary Change;7
Johnson C.N., Bowers J.C., Griffitt K.J., Molina V., Clostio R.W., Pei S., Laws E., Paranjpye R.N., Strom M.S., Chen A., Hasan N.A., Huq A., Noriea N.F., Grimes D.J., Colwell R.R.;2012;Applied and Environmental Microbiology;35
Mueller I.A., Devor D.P., Grim J.M., Beers J.M., Crockett E.L., O'Brien K.M.;2012;Journal of Experimental Biology;12
Bauer G.B., Gaspard Iii J.C., Colbert D.E., Leach J.B., Stamper S.A., Mann D., Reep R.;2012;Marine Mammal Science;5
Lockwood B.L., Somero G.N.;2012;Molecular Biology and Evolution;13
Gilly W.F., Zeidberg L.D., Booth J.A.T., Stewart J.S., Marshall G., Abernathy K., Bell L.E.;2012;Journal of Experimental Biology;13
McCauley D.J., Young H.S., Dunbar R.B., Estes J.A., Semmens B.X., Micheli F.;2012;Ecological Applications;26
Halpern B.S., Longo C., Hardy D., McLeod K.L., Samhouri J.F., Katona S.K., Kleisner K., Lester S.E., Oleary J., Ranelletti M., Rosenberg A.A., Scarborough C., Selig E.R., Best B.D., Brumbaugh D.R., Chapin F.S., Crowder L.B., Daly K.L., Doney S.C., Elfes C., Fogarty M.J., Gaines S.D., Jacobsen K.I., Karrer L.B., Leslie H.M., Neeley E., Pauly D., Polasky S., Ris B., St Martin K., Stone G.S., Rashid Sumaila U., Zeller D.;2012;Nature;127
Booth J.A.T., McPhee-Shaw E.E., Chua P., Kingsley E., Denny M., Phillips R., Bograd S.J., Zeidberg L.D., Gilly W.F.;2012;Continental Shelf Research;19
Parravicini V., Rovere A., Vassallo P., Micheli F., Montefalcone M., Morri C., Paoli C., Albertelli G., Fabiano M., Bianchi C.N.;2012;Ecological Indicators;24
Williams B.L., Hanifin C.T., Brodie Jr. E.D., Brodie III E.D.;2012;Chemoecology;5
Micheli F., Saenz-Arroyo A., Greenley A., Vazquez L., Espinoza Montes J.A., Rossetto M., de Leo G.A.;2012;PLoS ONE;45
Puill-Stephan E., Seneca F.O., Miller D.J., van Oppen M.J.H., Willis B.L.;2012;PLoS ONE;5
Amend A.S., Barshis D.J., Oliver T.A.;2012;ISME Journal;12
Webster S.E., Eustice R.M., Singh H., Whitcomb L.L.;2012;International Journal of Robotics Research;29
Rottinger E., Lowe C.J.;2012;Development (Cambridge);16
O'Connor M.I., Selig E.R., Pinsky M.L., Altermatt F.;2012;Global Ecology and Biogeography;16
Jakobsson M., Mayer L., Coakley B., Dowdeswell J.A., Forbes S., Fridman B., Hodnesdal H., Noormets R., Pedersen R., Rebesco M., Schenke H.W., Zarayskaya Y., Accettella D., Armstrong A., Anderson R.M., Bienhoff P., Camerlenghi A., Church I., Edwards M., Gardner J.V., Hall J.K., Hell B., Hestvik O., Kristoffersen Y., Marcussen C., Mohammad R., Mosher D., Nghiem S.V., Pedrosa M.T., Travaglini P.G., Weatherall P.;2012;Geophysical Research Letters;109
Dale J.J., Holland K.N.;2012;Marine and Freshwater Research;5
Martone R.G., Micheli F.;2012;Marine Ecology Progress Series;3
Methe B.A., Nelson K.E., Pop M., Creasy H.H., Giglio M.G., Huttenhower C., Gevers D., Petrosino J.F., Abubucker S., Badger J.H., Chinwalla A.T., Earl A.M., Fitzgerald M.G., Fulton R.S., Hallsworth-Pepin K., Lobos E.A., Madupu R., Magrini V., Martin J.C., Mitreva M., Muzny D.M., Sodergren E.J., Versalovic J., Wollam A.M., Worley K.C., Wortman J.R., Young S.K., Zeng Q., Aagaard K.M., Abolude O.O., Allen-Vercoe E., Alm E.J., Alvarado L., Andersen G.L., Anderson S., Appelbaum E., Arachchi H.M., Armitage G., Arze C.A., Ayvaz T., Baker C.C., Begg L., Belachew T., Bhonagiri V., Bihan M., Blaser M.J., Bloom T., Bonazzi V.R., Brooks P., Buck G.A., Buhay C.J., Busam D.A., Campbell J.L., Canon S.R., Cantarel B.L., Chain P.S., Chen I.-M.A., Chen L., Chhibba S., Chu K., Ciulla D.M., Clemente J.C., Clifton S.W., Conlan S., Crabtree J., Cutting M.A., Davidovics N.J., Davis C.C., Desantis T.Z., Deal C., Delehaunty K.D., Dewhirst F.E., Deych E., Ding Y., Dooling D.J., Dugan S.P., Michael Dunne W., Scott Durkin A., Edgar R.C., Erlich R.L., Farmer C.N., Farrell R.M., Faust K., Feldgarden M., Felix V.M., Fisher S., Fodor A.A., Forney L., Foster L., Di Francesco V., Friedman J., Friedrich D.C., Fronick C.C., Fulton L.L., Gao H., Garcia N., Giannoukos G., Giblin C., Giovanni M.Y., Goldberg J.M., Goll J., Gonzalez A., Griggs A., Gujja S., Haas B.J., Hamilton H.A., Harris E.L., Hepburn T.A., Herter B., Hoffmann D.E., Holder M.E., Howarth C., Huang K.H., Huse S.M., Izard J., Jansson J.K., Jiang H., Jordan C., Joshi V., Katancik J.A., Keitel W.A., Kelley S.T., Kells C., Kinder-Haake S., King N.B., Knight R., Knights D., Kong H.H., Koren O., Koren S., Kota K.C., Kovar C.L., Kyrpides N.C., La Rosa P.S., Lee S.L., Lemon K.P., Lennon N., Lewis C.M., Lewis L., Ley R.E., Li K., Liolios K., Liu B., Liu Y., Lo C.-C., Lozupone C.A., Dwayne Lunsford R., Madden T., Mahurkar A.A., Mannon P.J., Mardis E.R., Markowitz V.M., Mavrommatis K., McCorrison J.M., McDonald D., McEwen J., McGuire A.L., McInnes P., Mehta T., Mihindukulasuriya K.A., Miller J.R., Minx P.J., Newsham I., Nusbaum C., O'Laughlin M., Orvis J., Pagani I., Palaniappan K., Patel S.M., Pearson M., Peterson J., Podar M., Pohl C., Pollard K.S., Priest M.E., Proctor L.M., Qin X., Raes J., Ravel J., Reid J.G., Rho M., Rhodes R., Riehle K.P., Rivera M.C., Rodriguez-Mueller B., Rogers Y.-H., Ross M.C., Russ C., Sanka R.K., Sankar P., Fah Sathirapongsasuti J., Schloss J.A., Schloss P.D., Schmidt T.M., Scholz M., Schriml L., Schubert A.M., Segata N., Segre J.A., Shannon W.D., Sharp R.R., Sharpton T.J., Shenoy N., Sheth N.U., Simone G.A., Singh I., Smillie C.S., Sobel J.D., Sommer D.D., Spicer P., Sutton G.G., Sykes S.M., Tabbaa D.G., Thiagarajan M., Tomlinson C.M., Torralba M., Treangen T.J., Truty R.M., Vishnivetskaya T.A., Walker J., Wang L., Wang Z., Ward D.V., Warren W., Watson M.A., Wellington C., Wetterstrand K.A., White J.R., Wilczek-Boney K., Qing Wu Y., Wylie K.M., Wylie T., Yandava C., Ye L., Ye Y., Yooseph S., Youmans B.P., Zhang L., Zhou Y., Zhu Y., Zoloth L., Zucker J.D., Birren B.W., Gibbs R.A., Highlander S.K., Weinstock G.M., Wilson R.K., White O.;2012;Nature;380
McCauley D.J., Desalles P.A., Young H.S., Dunbar R.B., Dirzo R., Mills M.M., Micheli F.;2012;Scientific Reports;12
Huttenhower C., Gevers D., Knight R., Abubucker S., Badger J.H., Chinwalla A.T., Creasy H.H., Earl A.M., Fitzgerald M.G., Fulton R.S., Giglio M.G., Hallsworth-Pepin K., Lobos E.A., Madupu R., Magrini V., Martin J.C., Mitreva M., Muzny D.M., Sodergren E.J., Versalovic J., Wollam A.M., Worley K.C., Wortman J.R., Young S.K., Zeng Q., Aagaard K.M., Abolude O.O., Allen-Vercoe E., Alm E.J., Alvarado L., Andersen G.L., Anderson S., Appelbaum E., Arachchi H.M., Armitage G., Arze C.A., Ayvaz T., Baker C.C., Begg L., Belachew T., Bhonagiri V., Bihan M., Blaser M.J., Bloom T., Bonazzi V., Paul Brooks J., Buck G.A., Buhay C.J., Busam D.A., Campbell J.L., Canon S.R., Cantarel B.L., Chain P.S.G., Chen I.-M.A., Chen L., Chhibba S., Chu K., Ciulla D.M., Clemente J.C., Clifton S.W., Conlan S., Crabtree J., Cutting M.A., Davidovics N.J., Davis C.C., Desantis T.Z., Deal C., Delehaunty K.D., Dewhirst F.E., Deych E., Ding Y., Dooling D.J., Dugan S.P., Michael Dunne W., Scott Durkin A., Edgar R.C., Erlich R.L., Farmer C.N., Farrell R.M., Faust K., Feldgarden M., Felix V.M., Fisher S., Fodor A.A., Forney L.J., Foster L., Di Francesco V., Friedman J., Friedrich D.C., Fronick C.C., Fulton L.L., Gao H., Garcia N., Giannoukos G., Giblin C., Giovanni M.Y., Goldberg J.M., Goll J., Gonzalez A., Griggs A., Gujja S., Kinder Haake S., Haas B.J., Hamilton H.A., Harris E.L., Hepburn T.A., Herter B., Hoffmann D.E., Holder M.E., Howarth C., Huang K.H., Huse S.M., Izard J., Jansson J.K., Jiang H., Jordan C., Joshi V., Katancik J.A., Keitel W.A., Kelley S.T., Kells C., King N.B., Knights D., Kong H.H., Koren O., Koren S., Kota K.C., Kovar C.L., Kyrpides N.C., La Rosa P.S., Lee S.L., Lemon K.P., Lennon N., Lewis C.M., Lewis L., Ley R.E., Li K., Liolios K., Liu B., Liu Y., Lo C.-C., Lozupone C.A., Dwayne Lunsford R., Madden T., Mahurkar A.A., Mannon P.J., Mardis E.R., Markowitz V.M., Mavromatis K., McCorrison J.M., McDonald D., McEwen J., McGuire A.L., McInnes P., Mehta T., Mihindukulasuriya K.A., Miller J.R., Minx P.J., Newsham I., Nusbaum C., Oglaughlin M., Orvis J., Pagani I., Palaniappan K., Patel S.M., Pearson M., Peterson J., Podar M., Pohl C., Pollard K.S., Pop M., Priest M.E., Proctor L.M., Qin X., Raes J., Ravel J., Reid J.G., Rho M., Rhodes R., Riehle K.P., Rivera M.C., Rodriguez-Mueller B., Rogers Y.-H., Ross M.C., Russ C., Sanka R.K., Sankar P., Fah Sathirapongsasuti J., Schloss J.A., Schloss P.D., Schmidt T.M., Scholz M., Schriml L., Schubert A.M., Segata N., Segre J.A., Shannon W.D., Sharp R.R., Sharpton T.J., Shenoy N., Sheth N.U., Simone G.A., Singh I., Smillie C.S., Sobel J.D., Sommer D.D., Spicer P., Sutton G.G., Sykes S.M., Tabbaa D.G., Thiagarajan M., Tomlinson C.M., Torralba M., Treangen T.J., Truty R.M., Vishnivetskaya T.A., Walker J., Wang L., Wang Z., Ward D.V., Warren W., Watson M.A., Wellington C., Wetterstrand K.A., White J.R., Wilczek-Boney K., Wu Y., Wylie K.M., Wylie T., Yandava C., Ye L., Ye Y., Yooseph S., Youmans B.P., Zhang L., Zhou Y., Zhu Y., Zoloth L., Zucker J.D., Birren B.W., Gibbs R.A., Highlander S.K., Methe B.A., Nelson K.E., Petrosino J.F., Weinstock G.M., Wilson R.K., White O.;2012;Nature;1068
McCauley D.J., Hoffmann E., Young H.S., Micheli F.;2012;PLoS ONE;5
Schmidt J.M., Flatau P.J., Harasti P.R., Yates R.D., Littleton R., Pritchard M.S., Fischer J.M., Fischer E.J., Kohri W.J., Vetter J.R., Richman S., Baranowski D.B., Anderson M.J., Fletcher E., Lando D.W.;2012;Proceedings of the National Academy of Sciences of the United States of America;2
Madigan D.J., Baumann Z., Fisher N.S.;2012;Proceedings of the National Academy of Sciences of the United States of America;34
Papastamatiou Y.P., DeSalles P.A., McCauley D.J.;2012;Marine Ecology Progress Series;13
Alexanderian A., Winokur J., Sraj I., Srinivasan A., Iskandarani M., Thacker W.C., Knio O.M.;2012;Computational Geosciences;10
Pinsky M.L., Palumbi S.R., Andrefouet S., Purkis S.J.;2012;Ecological Applications;25
Guerry A.D., Ruckelshaus M.H., Arkema K.K., Bernhardt J.R., Guannel G., Kim C.-K., Marsik M., Papenfus M., Toft J.E., Verutes G., Wood S.A., Beck M., Chan F., Chan K.M.A., Gelfenbaum G., Gold B.D., Halpern B.S., Labiosa W.B., Lester S.E., Levin P.S., McField M., Pinsky M.L., Plummer M., Polasky S., Ruggiero P., Sutherland D.A., Tallis H., Day A., Spencer J.;2012;International Journal of Biodiversity Science, Ecosystems Services and Management;31
Benoit-Bird K.J., Gilly W.F.;2012;Marine Ecology Progress Series;12
Bevacqua D., Capoccioni F., Melia P., Vincenzi S., Pujolar J.M., de Leo G.A., Ciccotti E.;2012;PLoS ONE;5
Hong J., Talapatra S., Katz J., Tester P.A., Waggett R.J., Place A.R.;2012;PLoS ONE;11
Bailey H., Fossette S., Bograd S.J., Shillinger G.L., Swithenbank A.M., Georges J.-Y., Gaspar P., Stromberg K.H.P., Paladino F.V., Spotila J.R., Block B.A., Hays G.C.;2012;PLoS ONE;9
Alter S.E., Newsome S.D., Palumbi S.R.;2012;PLoS ONE;19
Brearley J.A., Pickart R.S., Valdimarsson H., Jonsson S., Schmitt R.W., Haine T.W.N.;2012;Deep-Sea Research Part I: Oceanographic Research Papers;13
Martone P.T., Kost L., Boller M.;2012;American Journal of Botany;11
Whitlock R.E., McAllister M.K., Block B.A.;2012;Fisheries Research;10
Ladner J.T., Palumbi S.R.;2012;Molecular Ecology;26
Villanueva R., Staaf D.J., Arguelles J., Bozzano A., Camarillo-Coop S., Nigmatullin C.M., Petroni G., Quintana D., Sakai M., Sakurai Y., Salinas-Zavala C.A., De Silva-Davila R., Tafur R., Yamashiro C., Vidal E.A.G.;2012;Aquaculture;6
Pespeni M.H., Garfield D.A., Manier M.K., Palumbi S.R.;2012;Proceedings of the Royal Society B: Biological Sciences;18
Bailey H., Benson S.R., Shillinger G.L., Bograd S.J., Dutton P.H., Eckert S.A., Morreale S.J., Paladino F.V., Eguchi T., Foley D.G., Block B.A., Piedra R., Hitipeuw C., Tapilatu R.F., Spotila J.R.;2012;Ecological Applications;12
Kimes N.E., Grim C.J., Johnson W.R., Hasan N.A., Tall B.D., Kothary M.H., Kiss H., Munk A.C., Tapia R., Green L., Detter C., Bruce D.C., Brettin T.S., Colwell R.R., Morris P.J.;2012;ISME Journal;26
