acquisition_time	studies_id	utm_x	utm_y	sex	gps_positions_animals_id	original_animal_id	animal_year_id
31MAR07:00:00:00	5	416301.4363	6582323.884	f	1110682	3358	33580
31MAR07:03:00:00	5	416310.7904	6582335.028	f	1110670	3358	33580
31MAR07:06:00:00	5	416425.7137	6582085.84	f	1110913	3358	33580
31MAR07:09:00:00	5	415978.1399	6582017.487	f	1111682	3358	33580
31MAR07:12:00:00	5	416109.9277	6582067.531	f	1113150	3358	33580
31MAR07:15:00:00	5	416942.8596	6583409.077	f	1113138	3358	33580
31MAR07:18:00:00	5	415735.0333	6583467.378	f	1113126	3358	33580
31MAR07:21:00:00	5	415775.7039	6582256.317	f	1113454	3358	33580
01APR07:00:00:00	5	416003.0957	6581960.702	f	1114016	3358	33580
01APR07:03:00:00	5	416071.3243	6581962.763	f	1114573	3358	33580
01APR07:06:00:00	5	416239.5897	6581685.24	f	1114842	3358	33580
01APR07:09:00:00	5	416038.9096	6581979.389	f	1115357	3358	33580
01APR07:12:00:00	5	416256.7298	6582278.489	f	1116080	3358	33580
01APR07:15:00:00	5	416075.3318	6583187.53	f	1116303	3358	33580
01APR07:18:00:00	5	415768.7166	6582216.983	f	1116682	3358	33580
01APR07:21:00:00	5	416058.7225	6582505.119	f	1117231	3358	33580
02APR07:00:00:00	5	416607.7034	6581961.397	f	1117953	3358	33580
02APR07:03:00:00	5	416052.4518	6581571.32	f	1118021	3358	33580
02APR07:06:00:00	5	415801.3342	6581937.014	f	1118607	3358	33580
02APR07:09:00:00	5	417557.2536	6582663.983	f	1120017	3358	33580
02APR07:12:00:00	5	416441.0718	6582726.025	f	1119509	3358	33580
02APR07:15:00:00	5	417321.0605	6584174.56	f	1120003	3358	33580
02APR07:18:00:00	5	417153.3486	6585028.531	f	1125492	3358	33580
02APR07:21:00:00	5	419091.3729	6584887.442	f	1125480	3358	33580
03APR07:00:00:00	5	418978.7082	6584530.26	f	1125468	3358	33580
03APR07:03:00:00	5	419651.1351	6584419.554	f	1122047	3358	33580
03APR07:06:00:00	5	420644.5108	6583561.572	f	1125375	3358	33580
03APR07:09:00:00	5	421590.8181	6582850.215	f	1125363	3358	33580
03APR07:12:00:00	5	421574.4715	6582820.356	f	1124719	3358	33580
